iter	Passed	Remaining
399	9424	14136
400	9431	14088
401	9435	14036
402	9444	13991
403	9459	13955
404	9467	13909
405	9545	13965
406	9556	13923
407	9562	13874
408	9575	13836
409	9586	13794
410	9626	13796
411	9641	13760
412	9653	13719
413	9668	13685
414	9685	13652
415	9698	13615
416	9710	13575
417	9716	13529
418	9725	13485
419	9732	13440
420	9741	13398
421	9748	13352
422	9761	13315
423	9774	13278
424	9779	13230
425	9796	13199
426	9808	13162
427	9820	13124
428	9826	13079
429	9837	13040
430	9849	13002
431	9855	12958
432	9867	12921
433	9876	12880
434	9883	12837
435	9897	12803
436	9902	12757
437	9913	12719
438	9922	12679
439	9929	12637
440	9941	12601
441	9948	12559
442	9963	12527
443	9976	12492
444	9995	12465
445	10001	12423
446	10013	12387
447	10019	12345
448	10036	12316
449	10046	12279
450	10066	12253
451	10074	12213
452	10083	12175
453	10090	12135
454	10105	12104
455	10118	12071
456	10124	12029
457	10130	11988
458	10147	11959
459	10160	11927
460	10167	11888
461	10175	11849
462	10187	11816
463	10194	11775
464	10207	11743
465	10219	11710
466	10224	11669
467	10233	11632
468	10239	11593
469	10248	11556
470	10254	11517
471	10262	11479
472	10267	11439
473	10274	11401
474	10280	11362
475	10284	11321
476	10291	11284
477	10296	11244
478	10306	11210
479	10312	11172
480	10319	11135
481	10326	11097
482	10335	11062
483	10357	11041
484	10383	11025
485	10390	10989
486	10398	10953
487	10402	10914
488	10409	10877
489	10414	10839
490	10426	10808
491	10440	10780
492	10448	10745
493	10459	10713
494	10472	10683
495	10482	10651
496	10489	10615
497	10518	10602
498	10528	10570
499	10535	10535
500	10542	10500
501	10550	10466
502	10578	10452
503	10595	10427
504	10606	10396
505	10625	10373
506	10639	10345
507	10649	10313
508	10664	10287
509	10683	10264
510	10698	10238
511	10713	10211
512	10727	10183
513	10742	10156
514	10760	10133
515	10771	10103
516	10799	10089
517	10813	10061
518	10820	10028
519	10833	10000
520	10847	9972
521	10853	9938
522	10859	9904
523	10864	9869
524	10875	9840
525	10880	9805
526	10894	9777
527	10902	9746
528	10908	9712
529	10915	9679
530	10922	9647
531	10938	9622
532	10943	9588
533	10948	9554
534	10954	9521
535	10963	9490
536	10968	9457
537	10975	9425
538	10980	9391
539	10991	9363
540	10998	9331
541	11010	9304
542	11015	9271
543	11023	9240
544	11028	9207
545	11036	9176
546	11042	9144
547	11051	9115
548	11056	9082
549	11060	9049
550	11067	9018
551	11078	8990
552	11083	8959
553	11088	8926
554	11094	8895
555	11101	8865
556	11109	8835
557	11114	8803
558	11118	8771
559	11125	8741
560	11130	8710
561	11138	8680
562	11143	8649
563	11151	8620
564	11156	8589
565	11166	8561
566	11173	8533
567	11181	8504
568	11187	8473
569	11193	8444
570	11199	8414
571	11204	8383
572	11211	8355
573	11218	8325
574	11225	8297
575	11230	8267
576	11235	8236
577	11244	8209
578	11249	8179
579	11256	8151
580	11263	8122
581	11273	8096
582	11285	8071
583	11294	8045
584	11303	8018
585	11311	7991
586	11318	7963
587	11325	7935
588	11330	7906
589	11336	7877
590	11343	7850
591	11348	7821
592	11358	7795
593	11364	7767
594	11372	7740
595	11378	7712
596	11383	7684
597	11390	7657
598	11395	7628
599	11404	7602
600	11409	7574
601	11423	7552
602	11432	7527
603	11438	7499
604	11463	7484
605	11482	7465
606	11543	7474
607	11586	7470
608	11601	7448
609	11610	7422
610	11620	7398
611	11655	7389
612	11671	7368
613	11693	7351
614	11730	7343
615	11777	7341
616	11830	7344
617	11846	7322
618	11860	7300
619	11876	7278
620	11942	7288
621	11964	7271
622	11977	7247
623	11994	7227
624	12035	7221
625	12051	7200
626	12065	7177
627	12084	7158
628	12132	7156
629	12143	7132
630	12167	7115
631	12183	7094
632	12200	7073
633	12213	7050
634	12220	7024
635	12232	7001
636	12247	6979
637	12251	6951
638	12264	6928
639	12291	6914
640	12304	6891
641	12321	6870
642	12335	6848
643	12355	6829
644	12367	6806
645	12372	6779
646	12386	6757
647	12399	6735
648	12404	6708
649	12411	6683
650	12420	6658
651	12427	6633
652	12440	6610
653	12448	6585
654	12454	6560
655	12466	6537
656	12472	6511
657	12483	6488
658	12494	6465
659	12501	6440
660	12516	6419
661	12546	6405
662	12560	6384
663	12595	6373
664	12609	6352
665	12625	6331
666	12643	6312
667	12699	6311
668	12710	6288
669	12716	6263
670	12729	6241
671	12741	6219
672	12755	6197
673	12762	6173
674	12776	6151
675	12786	6128
676	12791	6102
677	12800	6079
678	12806	6054
679	12816	6031
680	12821	6005
681	12833	5983
682	12864	5970
683	12874	5948
684	12891	5928
685	12954	5929
686	12967	5908
687	12974	5883
688	12980	5859
689	12995	5838
690	13005	5815
691	13011	5791
692	13022	5768
693	13038	5749
694	13043	5724
695	13055	5702
696	13060	5677
697	13066	5653
698	13074	5629
699	13080	5605
